"","Site","Transect","Location","Ammonia_mg_kg","Nitrate_mg_kg","Tube_ID","Ortho_P_mg_kg"
"1","11","1","3",0.00910371735125176,0.00566272894765362,"90",0.0378779668364582
"2","7","2","3",0.00904230507014963,0.00939215615917327,"77",0.0290107287667301
"3","11","1","47",0.00260822314798044,0.00912878101793154,"76",0.0135301575801485
"4","11","2","3",0.0404022655862411,0.0104183892839425,"95",0.0312551678518274
"5","5","2","3",0.681325233853837,0.0669977266798345,"80",0.0494167629411546
"6","7","2","47",0.830383096072147,0.0967615711410897,"79",0.11118357307893
"7","5","1","47",0.00961171714089557,0.00961171714089557,"91",0.0325539705545808
"8","10","2","33",0.438579041500894,0.0321385553162755,"83",0.0371756031682301
"9","5","1","16.2",2.06846076458753,0.0980885311871227,"94",0.031327967806841
"10","10","2","47",0.220744367111006,0.00990916597853014,"92",0.0589241476937596
"11","11","2","33",0.193341763800308,0.00923685946778095,"96",0.030734550252914
"12","5","2","16",0.016141889198884,0.00352730171383021,"89",0.0638501394978079
"13","26","2","16",0.0651407136458644,0.00940579277396238,"75",0.0391348163630935
"14","8","2","16",0.480703861075189,0.0086181415111768,"56",0.0284869757990024
"15","8","1","47",0.00949903878774172,0.00949903878774172,"63",0.056768065136266
"16","10","1","3",0.198856986100951,0.00921726408193124,"43",0.0287490855888808
"17","34","2","47",0.00971847281141535,0.00971847281141535,"36",0.0375433860393367
"18","31","2","33",0.198926211453745,0.0275055066079295,"14",0.0640969162995595
"19","5","1","16.1",0.0100655056718326,0.00611119987218406,"93",0.00173749800287586
"20","11","1","33",0.0969188767550702,0.00415088032092712,"82",0.0350456875417874
"21","8","1","33",0.00909025322848279,0.00909025322848279,"55",0.0315994516990116
"22","11","2","47",0.00909878682842288,0.00909878682842288,"85",0.00698656845753899
"23","8","1","3",0.00999961241812333,0.019621332506492,"65",0.0441261966590442
"24","31","1","33",0.319279262325932,0.0647534813699661,"5",0.0623259315016936
"25","12","2","47",0.00853906999041227,0.0100671140939597,"67",0.0263063279002876
"26","26","1","16",0.0357001190003967,0.00493851646172154,"53",0.0466481554938516
